IE_NAME;IE_CODE;IE_SORT;IP_PROP152;IP_PROP31;IP_PROP111;IP_PROP153;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP109;IP_PROP110;IP_PROP112;IC_GROUP0;IC_GROUP1;IC_GROUP2
МТКИ-200-12-62  (2М421Д4);silovoy-modul-v-korpuse-mpk-62-mtki-200-12-62-;100;/upload/iblock/42d/42d56d9b51184c680aaff1e713877cf6.JPG;/upload/iblock/d9a/d9afb8aa27b4b1702f926208b46155ed.JPG;Одиночный ключ;;1200;200;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
Силовой модуль в корпусе МПК-62 - 2М421Е4 ;silovoy-modul-v-korpuse-mpk-62-2m421e4-;200;/upload/iblock/fd1/fd198173474ec699f59c92e04e665661.png;;Одиночный ключ;;1200;300;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
МТКИ-300-12-62  (2М421Е4);silovoy-modul-mtki-300-12-62;110;/upload/iblock/331/331e89d399794e1bb7633f4becfd5ce2.JPG;/upload/iblock/90d/90d069fce5ba3157d43ae57b6673b794.JPG;Одиночный ключ;;1200;300;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
МТКИ-300-17-62  (2М422Е4);silovoy-modul-mtki-300-17-62;120;/upload/iblock/4c4/4c4a0d0d422d79edd3ff01da2988129e.JPG;/upload/iblock/fb3/fb33ae94082328cee5b2d77fe837d8ef.JPG;Одиночный ключ;;1700;300;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
МТКИ-400-12-62  (2М421Ж4);silovoy-modul-mtki-400-12-62;130;/upload/iblock/3fc/3fcf6b6105fe4939abee1d5477fafdfe.JPG;/upload/iblock/0db/0db9ddd29b2209f58c071fa378167674.JPG;Одиночный ключ;;1200;400;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
МТКИ-400-17-62  (2М422Ж4);silovoy-modul-mtki-400-17-62;140;/upload/iblock/7ad/7ad54757b961da29ccdec594d2cf9896.JPG;/upload/iblock/a0d/a0dcac94e38510dcaed31c7bd6ba9a2e.JPG;Одиночный ключ;;1700;400;Приборы специального назначения;МПК-62;;;Силовые модули на основе IGBT и FRD;;
МТКИ-100-12-34  (2М421В2);silovoy-modul-mtki-100-12-34;210;/upload/iblock/840/8407c97acb6904fa6ea01acf98eaa3ce.JPG;/upload/iblock/116/116624cea496ada5a4080f8793441f25.JPG;Одиночный ключ;;1200;100;Приборы специального назначения;МПК-34;;;Силовые модули на основе IGBT и FRD;;
МТКИ-100-17-34  (2М422В2);silovoy-modul-mtki-100-17-34;220;/upload/iblock/fa8/fa881fdedc5cded4df433aece2763076.JPG;/upload/iblock/652/6521ec1d7cdb311b26708f4b6120d019.JPG;Одиночный ключ;;1700;100;Приборы специального назначения;МПК-34;;;Силовые модули на основе IGBT и FRD;;
МТКИ-150-12-34  (2М421Г2);silovoy-modul-mtki-150-12-34;230;/upload/iblock/937/9379039c6d474f7d8b9f5379e5065a26.JPG;/upload/iblock/750/75034a453b2eee09c0111dfd1bdd54a9.JPG;Одиночный ключ;;1200;150;Приборы специального назначения;МПК-34;;;Силовые модули на основе IGBT и FRD;;
МТКИ-200-12-34  (2М421Д2);silovoy-modul-mtki-200-12-34;240;/upload/iblock/ee5/ee557a527fb90f291cff72012042228b.JPG;/upload/iblock/c97/c97e1a35ec11ffa7de4ecaf32ffd3c39.JPG;Одиночный ключ;;1200;200;Приборы специального назначения;МПК-34;;;Силовые модули на основе IGBT и FRD;;
МТКИ-200-17-34  (2М422Д2);silovoy-modul-mtki-200-17-34;250;/upload/iblock/a41/a417cbf54b05fe1a5c80594879df282a.JPG;/upload/iblock/01b/01b3b7bcbe8a823afa20c0f79cebfab4.JPG;Одиночный ключ;;1700;200;Приборы специального назначения;МПК-34;;;Силовые модули на основе IGBT и FRD;;
МТКИ-50-12-44  (2М421А3);silovoy-modul-mtki-50-12-44;310;/upload/iblock/a6c/a6cadfa243de6c969bbe897e595e346d.JPG;/upload/iblock/843/8438b77b2a6922e595a5337b495f2320.JPG;Одиночный ключ;;1200;50;Приборы специального назначения;МПК-44;;;Силовые модули на основе IGBT и FRD;;
МТКИ-50-17-44  (2М422А3);silovoy-modul-mtki-50-17-44;320;/upload/iblock/8a9/8a9e3cabe7f51320a1431cf8d7040cd7.JPG;/upload/iblock/f50/f50eaec2c756d6215e5f33a225a105c3.JPG;Одиночный ключ;;1700;50;Приборы специального назначения;МПК-44;;;Силовые модули на основе IGBT и FRD;;
